date,Population Growth Rate (%),GDP per capita Growth Rate (%),Energy intensity Growth Rate (%),Carbon intensity Growth Rate (%),Emissions (F) Growth Rate (%),emissions_new(F),Difference (emissions_new(F) - Emissions (F) Growth Rate)
1992,0.49567535767483195,1.0975573868864048,-2.575824000440319,-3.04083315720331,-4.028197381671702,-4.023424413082392,0.004772968589310089
1993,0.6514130556628097,-1.6342026388492163,-0.8670302411312187,0.17620622067354505,-1.6789087093389297,-1.6736136036440803,0.005295105694849367
1994,0.34030441777007797,2.3111996569021356,-2.9989044597322736,-2.3654440262876983,-2.774813233724653,-2.7128444113477586,0.061968822376894384
1995,0.18869087994080286,1.390995364471735,0.10031234727918127,-0.4688497839836592,1.2074643249176729,1.21114880770806,0.0036844827903872446
1996,0.21664738176715329,0.8412797049930134,0.18057270889458438,0.3799422434558065,1.6268980477223427,1.6184420391105576,-0.008456008611785082
1997,0.1154592576215393,1.8199207497348526,-1.0982077939615131,-3.9870892603167847,-3.2017075773745995,-3.1499170469219058,0.05179053045269377
1998,-0.03925994994356383,1.9210761797534681,-1.0499527279401764,-1.5703925870548525,-0.7717750826901874,-0.7385290851851245,0.03324599750506285
1999,-0.07241396239383377,2.0644849546772486,-1.951725438431093,-3.6666666666666723,-3.6666666666666665,-3.62632111281435,0.04034555385231631
2000,0.03684734146431335,3.070324801491868,3.620215516895083,-5.863238172193656,0.5767012687427913,0.8641494876576088,0.28744821891481753
2001,0.05033948457278967,1.7014787338531443,0.3133955498418593,-0.23189681438098952,1.834862385321101,1.8333169538868037,-0.0015454314342973063
2002,0.09081091694482624,-0.27928176090195156,2.4072897471374004,-3.8186652356327477,-1.6891891891891893,-1.599846332452473,0.08934285673671627
2003,0.007356366935582746,-0.5535505267265115,2.0012095066657376,-1.310570577180988,0.11454753722794961,0.14444476969382092,0.02989723246587131
2004,-0.09072185170655159,0.7945842166766551,0.5386228173919723,-2.1342996062786352,-0.9153318077803204,-0.8918144239165595,0.0235173838637609
2005,-0.13620634647949542,1.189669724876914,-1.214811982687041,-2.368831929219652,-2.5404157043879905,-2.5301805335092746,0.010235170878715838
2006,-0.17571237236277845,4.22512808241044,-3.0388787232573486,0.8891425357517928,1.7772511848341233,1.8996795225421055,0.12242833770798223
2007,-0.224027572624323,3.2212109097297743,-2.394802911813726,-3.647652308886297,-3.143189755529686,-3.045271883594572,0.09791787193511414
2008,-0.2479705889609909,0.8950298969147532,-1.1582046646134554,1.1276681433749542,0.6009615384615385,0.6165227867152612,0.015561248253722626
2009,-0.3351596027554819,-5.179091321117091,0.09181765595481171,-1.227367112380804,-6.5710872162485074,-6.649800380298565,-0.07871316405005757
2010,-0.3300821482639665,4.354114733778831,0.40225479888032445,0.6579125735407158,5.115089514066496,5.084199957935905,-0.030889556130591522
2011,-0.0398406374501992,3.8768866825546353,-5.055042790114224,-2.144869145104618,-3.5279805352798053,-3.362865890114406,0.1651146451653993
2012,0.2017736149860502,0.44932967115478284,-1.0038874084922154,2.1315104284794217,1.7654476670870116,1.7787263061280396,0.013278639041027995
2013,0.28091982597886883,0.22703492497868835,-0.6849649714552413,2.0422653136407707,1.858736059479554,1.8652550931430867,0.006519033663532792
2014,0.4462293618920125,1.7113625434610134,-4.235678550216747,-2.5150891908967403,-4.622871046228711,-4.593175835760461,0.0296952104682493
2015,0.9538970334172466,0.4469127396742779,-0.47755258560694236,-0.4068598242216719,0.5102040816326531,0.5163973632629103,0.00619328163025723
2016,0.7126355290982654,1.4901130054556464,-1.6298478298343546,-0.41825200143715685,0.12690355329949238,0.15464870328240043,0.027745149982908057
2017,0.3628993106126808,2.633003148328685,-2.741572603523526,1.8430502746092023,2.027883396704689,2.0973801300270427,0.06949673332235351
2018,0.2938651122854966,0.8365995505310528,-2.9115319211470947,-1.0648392198207648,-2.857142857142857,-2.84590647815131,0.01123637899154728
2019,0.21342272168230159,0.8133300999069454,-3.7573721815696506,-5.1762376429822785,-7.8005115089514065,-7.906857002962681,-0.10634549401127469
2020,0.057754087906534635,-4.5143544342942175,0.0993096168577623,-8.488816238469502,-12.482662968099861,-12.846106967999422,-0.36344399989956067
2021,0.05651823615002585,3.5657786047555833,-0.05103395482114352,3.2843324771845483,6.9730586370839935,6.855595363269014,-0.11746327381497945
2022,0.8797442492127971,0.5611660367765697,-4.257848352876964,1.890861275476663,-1.037037037037037,-0.9260767914109342,0.11096024562610274
